netlist, abcNplb, abcLev, vprDelay, vprAreaClb, vprAreaRouting, vprNclb, channelWidth, vprtime
bnn, 0, 0, 0.000000, 0, 0, 12520, 0,1625.470000
reduction_layer, 0, 0, 6.763620, 7.87074e+07, 1.33552e+07, 1135, 0,95.420000
sha, 0, 0, 11.463300, 1.05632e+07, 2.29779e+06, 196, 0,11.320000
conv_layer_hls, 0, 0, 8.610650, 1.23702e+08, 8.04889e+07, 2067, 0,190.040000
mcml, 0, 0, 65.698300, 6.68046e+08, 9.32071e+07, 9361, 0,721.930000
spmv, 0, 0, 7.432450, 1.67003e+08, 7.73793e+07, 647, 0,240.530000
stereovision1, 0, 0, 5.327830, 8.45239e+07, 1.27530e+07, 1245, 0,68.670000
dla_like.small, 0, 0, 10.348800, 9.52518e+08, 1.57727e+08, 11569, 0,958.130000
or1200, 0, 0, 18.979900, 1.92794e+07, 4.86480e+06, 308, 0,25.770000
conv_layer, 0, 0, 7.109230, 1.58283e+08, 2.19511e+07, 2035, 0,149.720000
eltwise_layer, 0, 0, 5.326730, 8.2521e+07, 1.33552e+07, 1121, 0,82.640000
mkDelayWorker32B, 0, 0, 7.261130, 5.22725e+07, 1.74485e+07, 492, 0,47.900000
mkPktMerge, 0, 0, 3.991900, 9.94461e+06, 5.20312e+06, 32, 0,12.950000
clstm_like.small, 0, 0, 9.538260, 1.15422e+09, 1.62169e+08, 16216, 0,1324.580000
mkSMAdapter4B, 0, 0, 5.107650, 1.26026e+07, 2.55731e+06, 183, 0,10.890000
stereovision2, 0, 0, 16.743400, 4.61487e+08, 1.07015e+08, 5279, 0,472.520000
stereovision3, 0, 0, 2.037020, 1.07788e+06, 234035., 20, 0,0.890000
LU8PEEng, 0, 0, 72.138600, 1.64656e+08, 2.60621e+07, 2549, 0,193.570000
tpu_like.medium, 0, 0, 10.021700, 9.78369e+08, 2.61635e+08, 10174, 0,895.840000
raygentop, 0, 0, 4.770220, 1.23487e+07, 3.14668e+06, 163, 0,13.630000
blob_merge, 0, 0, 9.334550, 3.36838e+07, 6.45840e+06, 625, 0,33.670000
arm_core, 0, 0, 16.127600, 8.07907e+07, 1.27530e+07, 1255, 0,91.430000
bgm, 0, 0, 15.157800, 1.80911e+08, 3.35887e+07, 3276, 0,221.250000
tpu_like.small, 0, 0, 7.869190, 2.61606e+08, 6.57075e+07, 2745, 0,212.050000
LU32PEEng, 0, 0, 0.000000, 0, 0, 8738, 0,1062.850000
stereovision0, 0, 0, 2.878010, 7.00636e+07, 1.33552e+07, 1300, 0,64.280000
softmax, 0, 0, 5.667160, 4.87746e+07, 9.29080e+06, 905, 0,63.030000
spree, 0, 0, 8.893610, 6.40541e+06, 1.19140e+06, 81, 0,6.440000
lstm, 0, 0, 12.483900, 8.24655e+08, 1.08770e+08, 10924, 0,1120.620000
robot_rl, 0, 0, 12.225500, 1.34271e+08, 1.95542e+07, 1871, 0,127.730000
boundtop, 0, 0, 2.018990, 4.74267e+06, 983608., 88, 0,2.510000
tiny_darknet_like.small, 0, 0, 20.411500, 1.77822e+09, 7.99975e+08, 9802, 0,2125.170000
attention_layer, 0, 0, 7.425820, 2.16474e+08, 3.26182e+07, 2246, 0,208.250000
maxChannelWidth,0
