netlist, abcNplb, abcLev, vprDelay, vprAreaClb, vprAreaRouting, vprNclb, channelWidth, vprtime
arm_core.base,12618,25,18.2781,8.37E+07,1.40E+07,1309,0,101.64
attention_layer.base,25325,11,8.78209,2.19E+08,3.26E+07,2299,0,228.08
bgm.base,30595,22,17,1.82E+08,3.36E+07,3298,0,219.38
blob_merge.base,6090,18,10.439,3.72E+07,7.36E+06,690,0,37.69
bnn.base,113269,10,10.053,6.82E+08,1.22E+08,12191,0,1021.73
boundtop.base,318,2,2.01317,4.80E+06,1.19E+06,89,0,2.81
clstm_like.small.base,170602,8,10.3055,1.13E+09,1.58E+08,15850,0,1242.55
conv_layer.base,22737,14,8.49692,1.57E+08,2.20E+07,2008,0,149.5
conv_layer_hls.base,8370,14,9.65866,1.24E+08,8.05E+07,2077,0,176.63
dla_like.small.base,106082,12,11.483,9.37E+08,1.58E+08,11280,0,930.03
eltwise_layer.base,11388,5,4.90686,8.63E+07,1.34E+07,1192,0,121.75
lstm.base,103580,11,10.4644,8.07E+08,1.07E+08,10594,0,1084.98
LU32PEEng.base,91632,129,80.7045,6.00E+08,9.14E+07,9201,0,1034.16
LU8PEEng.base,26261,129,82.0513,1.71E+08,2.71E+07,2667,0,199.32
mcml.base,90524,75,67.8827,6.66E+08,9.32E+07,9323,0,703.3
mkDelayWorker32B.base,1762,5,6.38349,5.29E+07,1.74E+07,503,0,48.04
mkPktMerge.base,355,2,4.21721,9.94E+06,5.20E+06,32,0,12.59
mkSMAdapter4B.base,1436,7,4.99137,1.36E+07,2.56E+06,202,0,11.24
or1200.base,3022,27,20.266,2.01E+07,4.86E+06,323,0,27.15
raygentop.base,1934,8,4.76469,1.23E+07,3.15E+06,162,0,13.36
reduction_layer.base,10175,8,6.92229,7.62E+07,1.34E+07,1089,0,84.56
robot_rl.base,19490,14,12.1873,1.38E+08,2.04E+07,1942,0,143.58
sha.base,2534,21,13.4889,1.39E+07,2.83E+06,258,0,12.64
softmax.base,10341,9,6.39411,5.45E+07,1.04E+07,1012,0,70.04
spmv.base,8792,7,7.46563,1.67E+08,7.74E+07,644,0,268.17
spree.base,826,15,9.60018,6.57E+06,1.19E+06,84,0,6.09
stereovision0.base,12537,5,3.2368,7.02E+07,1.34E+07,1302,0,63.74
stereovision1.base,13737,6,5.16353,8.55E+07,1.28E+07,1264,0,86.21
stereovision2.base,52995,17,17.4574,4.54E+08,1.07E+08,5135,0,468.59
stereovision3.base,220,4,2.59304,1.19E+06,326485,22,0,1.05
tiny_darknet_like.small.base,72604,14,25.9063,1.78E+09,8.00E+08,9829,0,2057.96
tpu_like.medium.base,117067,7,10.1572,9.70E+08,2.62E+08,10024,0,944.79
tpu_like.small.base,31845,7,7.59924,2.62E+08,6.57E+07,2750,0,236.02
